== HV discharge simulator v18 batch ==  out: results/run_R1000
   scipy: yes  poisson=direct dt_rule=v18
   grid 161x125 (h=0.125 mm), unknowns=18048, init 0.07 s (LU factor 41 ms), poisson=direct
-- discharge phase: 0 -> 300 ns  (V(t): IMPULSE, 0.01/0.1 us, Vp=+30 kV, config=NEEDLE_PLANE)
  t=    0.000 ns (  0.0%)  wall 0h 00m 00s  ETA --  steps=      0  dt=  0.000 ps [-]  V=  0.00 kV  ne_max=0.00e+00  E_max=   0.0 kV/cm  head z=  nan mm
  t=   78.197 ns ( 26.1%)  wall 1h 05m 10s  ETA 3h 04m 50s  steps=  88626  dt=  0.859 ps [semi:ionization]  V= 19.24 kV  ne_max=1.00e+22  E_max=9896.4 kV/cm  head z= 0.00 mm
  t=   79.270 ns ( 26.4%)  wall 1h 06m 10s  ETA 3h 04m 14s  steps=  89874  dt=  0.859 ps [semi:ionization]  V= 19.09 kV  ne_max=1.00e+22  E_max=8017.3 kV/cm  head z= 0.00 mm
  t=   80.343 ns ( 26.8%)  wall 1h 07m 10s  ETA 3h 03m 38s  steps=  91122  dt=  0.859 ps [semi:ionization]  V= 18.95 kV  ne_max=1.00e+22  E_max=7540.8 kV/cm  head z= 0.00 mm
  t=   81.420 ns ( 27.1%)  wall 1h 08m 10s  ETA 3h 03m 00s  steps=  92376  dt=  0.859 ps [semi:ionization]  V= 18.80 kV  ne_max=1.00e+22  E_max=6928.6 kV/cm  head z= 0.00 mm
  t=   82.493 ns ( 27.5%)  wall 1h 09m 10s  ETA 3h 02m 22s  steps=  93624  dt=  0.859 ps [semi:ionization]  V= 18.66 kV  ne_max=1.00e+22  E_max=6841.6 kV/cm  head z= 0.00 mm
  t=   83.566 ns ( 27.9%)  wall 1h 10m 10s  ETA 3h 01m 44s  steps=  94872  dt=  0.859 ps [semi:ionization]  V= 18.52 kV  ne_max=1.00e+22  E_max=6977.6 kV/cm  head z= 0.00 mm
  t=   84.644 ns ( 28.2%)  wall 1h 11m 10s  ETA 3h 01m 05s  steps=  96126  dt=  0.859 ps [semi:ionization]  V= 18.37 kV  ne_max=1.00e+22  E_max=7054.4 kV/cm  head z= 0.00 mm
  t=   85.727 ns ( 28.6%)  wall 1h 12m 10s  ETA 3h 00m 24s  steps=  97386  dt=  0.859 ps [semi:ionization]  V= 18.23 kV  ne_max=1.00e+22  E_max=8164.0 kV/cm  head z= 0.00 mm
  t=   86.820 ns ( 28.9%)  wall 1h 13m 11s  ETA 2h 59m 41s  steps=  98658  dt=  0.859 ps [semi:ionization]  V= 18.09 kV  ne_max=1.00e+22  E_max=8596.4 kV/cm  head z= 0.00 mm
  t=   87.898 ns ( 29.3%)  wall 1h 14m 11s  ETA 2h 59m 00s  steps=  99912  dt=  0.859 ps [semi:ionization]  V= 17.95 kV  ne_max=1.00e+22  E_max=7152.1 kV/cm  head z= 0.00 mm
  t=   88.975 ns ( 29.7%)  wall 1h 15m 11s  ETA 2h 58m 18s  steps= 101166  dt=  0.859 ps [semi:ionization]  V= 17.81 kV  ne_max=1.00e+22  E_max=7096.1 kV/cm  head z= 0.00 mm
  t=   90.058 ns ( 30.0%)  wall 1h 16m 11s  ETA 2h 57m 36s  steps= 102426  dt=  0.859 ps [semi:ionization]  V= 17.68 kV  ne_max=1.00e+22  E_max=7452.6 kV/cm  head z= 0.00 mm
  t=   91.152 ns ( 30.4%)  wall 1h 17m 11s  ETA 2h 56m 51s  steps= 103698  dt=  0.859 ps [semi:ionization]  V= 17.54 kV  ne_max=1.00e+22  E_max=6201.6 kV/cm  head z= 0.00 mm
  t=   92.235 ns ( 30.7%)  wall 1h 18m 11s  ETA 2h 56m 07s  steps= 104958  dt=  0.859 ps [semi:ionization]  V= 17.40 kV  ne_max=1.00e+22  E_max=7671.5 kV/cm  head z= 0.00 mm
  t=   93.318 ns ( 31.1%)  wall 1h 19m 11s  ETA 2h 55m 23s  steps= 106218  dt=  0.859 ps [semi:ionization]  V= 17.27 kV  ne_max=1.00e+22  E_max=10381.3 kV/cm  head z= 0.00 mm
  t=   94.406 ns ( 31.5%)  wall 1h 20m 11s  ETA 2h 54m 38s  steps= 107484  dt=  0.859 ps [semi:ionization]  V= 17.14 kV  ne_max=1.00e+22  E_max=10225.0 kV/cm  head z= 0.00 mm
  t=   95.457 ns ( 31.8%)  wall 1h 21m 12s  ETA 2h 53m 59s  steps= 108726  dt=  0.803 ps [semi:CFL]  V= 17.01 kV  ne_max=1.00e+22  E_max=11794.6 kV/cm  head z= 0.00 mm
  t=   96.427 ns ( 32.1%)  wall 1h 22m 12s  ETA 2h 53m 32s  steps= 109968  dt=  0.748 ps [semi:CFL]  V= 16.89 kV  ne_max=1.00e+22  E_max=12756.1 kV/cm  head z= 0.00 mm
  t=   97.363 ns ( 32.5%)  wall 1h 23m 12s  ETA 2h 53m 09s  steps= 111198  dt=  0.797 ps [semi:CFL]  V= 16.78 kV  ne_max=1.00e+22  E_max=11895.3 kV/cm  head z= 0.00 mm
  t=   98.287 ns ( 32.8%)  wall 1h 24m 12s  ETA 2h 52m 48s  steps= 112416  dt=  0.732 ps [semi:CFL]  V= 16.67 kV  ne_max=1.00e+22  E_max=13081.6 kV/cm  head z= 0.00 mm
  t=   99.238 ns ( 33.1%)  wall 1h 25m 12s  ETA 2h 52m 22s  steps= 113646  dt=  0.830 ps [semi:CFL]  V= 16.55 kV  ne_max=1.00e+22  E_max=11287.1 kV/cm  head z= 0.00 mm
  t=  100.246 ns ( 33.4%)  wall 1h 26m 12s  ETA 2h 51m 46s  steps= 114888  dt=  0.759 ps [semi:CFL]  V= 16.44 kV  ne_max=1.00e+22  E_max=12575.6 kV/cm  head z= 0.00 mm
  t=  101.240 ns ( 33.7%)  wall 1h 27m 12s  ETA 2h 51m 13s  steps= 116136  dt=  0.859 ps [semi:ionization]  V= 16.32 kV  ne_max=1.00e+22  E_max=8739.8 kV/cm  head z= 0.00 mm
  t=  102.286 ns ( 34.1%)  wall 1h 28m 13s  ETA 2h 50m 30s  steps= 117354  dt=  0.859 ps [semi:ionization]  V= 16.20 kV  ne_max=1.00e+22  E_max=7459.5 kV/cm  head z= 0.00 mm
  t=  103.354 ns ( 34.5%)  wall 1h 29m 13s  ETA 2h 49m 44s  steps= 118596  dt=  0.859 ps [semi:ionization]  V= 16.08 kV  ne_max=1.00e+22  E_max=7151.7 kV/cm  head z= 0.00 mm
  t=  104.421 ns ( 34.8%)  wall 1h 30m 13s  ETA 2h 48m 58s  steps= 119838  dt=  0.859 ps [semi:ionization]  V= 15.95 kV  ne_max=1.00e+22  E_max=8545.0 kV/cm  head z= 0.00 mm
  t=  105.504 ns ( 35.2%)  wall 1h 31m 13s  ETA 2h 48m 09s  steps= 121098  dt=  0.859 ps [semi:ionization]  V= 15.83 kV  ne_max=1.00e+22  E_max=7638.9 kV/cm  head z= 0.00 mm
  t=  106.567 ns ( 35.5%)  wall 1h 32m 13s  ETA 2h 47m 23s  steps= 122334  dt=  0.859 ps [semi:ionization]  V= 15.71 kV  ne_max=1.00e+22  E_max=7963.9 kV/cm  head z= 0.00 mm
  t=  107.624 ns ( 35.9%)  wall 1h 33m 13s  ETA 2h 46m 38s  steps= 123564  dt=  0.859 ps [semi:ionization]  V= 15.59 kV  ne_max=1.00e+22  E_max=7437.6 kV/cm  head z= 0.00 mm
  t=  108.686 ns ( 36.2%)  wall 1h 34m 13s  ETA 2h 45m 51s  steps= 124800  dt=  0.859 ps [semi:ionization]  V= 15.47 kV  ne_max=1.00e+22  E_max=8168.2 kV/cm  head z= 0.00 mm
  t=  109.754 ns ( 36.6%)  wall 1h 35m 14s  ETA 2h 45m 04s  steps= 126042  dt=  0.859 ps [semi:ionization]  V= 15.36 kV  ne_max=1.00e+22  E_max=8592.1 kV/cm  head z= 0.00 mm
  t=  110.826 ns ( 36.9%)  wall 1h 36m 14s  ETA 2h 44m 15s  steps= 127290  dt=  0.859 ps [semi:ionization]  V= 15.24 kV  ne_max=1.00e+22  E_max=10046.5 kV/cm  head z= 0.00 mm
  t=  111.891 ns ( 37.3%)  wall 1h 37m 14s  ETA 2h 43m 28s  steps= 128532  dt=  0.852 ps [semi:CFL]  V= 15.12 kV  ne_max=1.00e+22  E_max=10934.9 kV/cm  head z= 0.00 mm
  t=  112.906 ns ( 37.6%)  wall 1h 38m 14s  ETA 2h 42m 47s  steps= 129786  dt=  0.781 ps [semi:CFL]  V= 15.02 kV  ne_max=1.00e+22  E_max=12156.5 kV/cm  head z= 0.00 mm
  t=  113.845 ns ( 37.9%)  wall 1h 39m 14s  ETA 2h 42m 16s  steps= 131034  dt=  0.732 ps [semi:CFL]  V= 14.91 kV  ne_max=1.00e+22  E_max=13131.6 kV/cm  head z= 0.00 mm
  t=  114.760 ns ( 38.3%)  wall 1h 40m 14s  ETA 2h 41m 48s  steps= 132276  dt=  0.723 ps [semi:CFL]  V= 14.82 kV  ne_max=1.00e+22  E_max=13292.7 kV/cm  head z= 0.00 mm
  t=  115.699 ns ( 38.6%)  wall 1h 41m 14s  ETA 2h 41m 16s  steps= 133518  dt=  0.746 ps [semi:CFL]  V= 14.72 kV  ne_max=1.00e+22  E_max=12806.2 kV/cm  head z= 0.00 mm
  t=  116.754 ns ( 38.9%)  wall 1h 42m 14s  ETA 2h 40m 28s  steps= 134766  dt=  0.859 ps [semi:ionization]  V= 14.61 kV  ne_max=1.00e+22  E_max=8390.0 kV/cm  head z= 0.00 mm
  t=  117.831 ns ( 39.3%)  wall 1h 43m 15s  ETA 2h 39m 37s  steps= 136020  dt=  0.859 ps [semi:ionization]  V= 14.50 kV  ne_max=1.00e+22  E_max=9497.4 kV/cm  head z= 0.00 mm
  t=  118.914 ns ( 39.6%)  wall 1h 44m 15s  ETA 2h 38m 45s  steps= 137280  dt=  0.859 ps [semi:ionization]  V= 14.38 kV  ne_max=1.00e+22  E_max=10443.9 kV/cm  head z= 0.00 mm
  t=  119.991 ns ( 40.0%)  wall 1h 45m 15s  ETA 2h 37m 54s  steps= 138534  dt=  0.859 ps [semi:ionization]  V= 14.27 kV  ne_max=1.00e+22  E_max=9845.7 kV/cm  head z= 0.00 mm
  t=  121.079 ns ( 40.4%)  wall 1h 46m 15s  ETA 2h 37m 01s  steps= 139800  dt=  0.859 ps [semi:ionization]  V= 14.16 kV  ne_max=1.00e+22  E_max=8750.8 kV/cm  head z= 0.00 mm
  t=  122.157 ns ( 40.7%)  wall 1h 47m 16s  ETA 2h 36m 09s  steps= 141054  dt=  0.859 ps [semi:ionization]  V= 14.05 kV  ne_max=1.00e+22  E_max=9841.7 kV/cm  head z= 0.00 mm
  t=  123.230 ns ( 41.1%)  wall 1h 48m 16s  ETA 2h 35m 18s  steps= 142302  dt=  0.859 ps [semi:ionization]  V= 13.95 kV  ne_max=1.00e+22  E_max=8478.9 kV/cm  head z= 0.00 mm
